TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD,WITHDRAWAL AMT,DEPOSIT AMT
TRX20220329124447,6-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,1500.0
TRX20220329124164,7-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,989.0,
TRX20220329124405,7-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,693.0,
TRX20220329124351,7-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,989.0,
TRX20220329124111,7-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,206.0,
TRX20220329124080,7-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,722.0,
TRX20220329124291,7-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,722.0,
TRX20220329124221,7-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,989.0,
TRX20220329124531,7-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,206.0,
TRX20220329124154,7-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,989.0,
TRX20220329124272,7-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,206.0,
TRX20220329124165,7-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,492.0,
TRX20220329124538,7-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,722.0,
TRX20220329124071,7-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,989.0,
TRX20220329124288,7-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,989.0,
TRX20220329124401,7-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,939.0,
TRX20220329124083,8-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,61.0,
TRX20220329124346,8-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,660.0,
TRX20220329124254,8-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,707.0,
TRX20220329124547,8-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,117.0,
TRX20220329124173,8-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,660.0,
TRX20220329124124,8-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,322.0,
TRX20220329124193,8-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,21.0,
TRX20220329124434,8-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,61.0,
TRX20220329124555,8-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,322.0,
TRX20220329124126,8-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,322.0,
TRX20220329124442,8-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,322.0,
TRX20220329124536,8-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,322.0,
TRX20220329124092,8-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,764.0,
TRX20220329124319,8-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,61.0,
TRX20220329124142,8-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,141.0,
TRX20220329124527,8-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,141.0,
TRX20220329124212,8-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,61.0,
TRX20220329124439,8-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,21.0,
TRX20220329124190,8-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,61.0,
TRX20220329124202,8-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,945.0,
TRX20220329124257,8-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,764.0,
TRX20220329124094,9-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,65.0,
TRX20220329124134,9-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,859.0,
TRX20220329124508,9-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,372.0,
TRX20220329124136,9-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,892.0,
TRX20220329124378,9-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,97.0,
TRX20220329124489,9-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,870.0
TRX20220329124117,9-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,749.0,
TRX20220329124118,9-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,669.0,
TRX20220329124292,9-Jan-24,Housing Rent,Rental payments for housing accommodations,Other Expenses,Direct debit,1100.0,
TRX20220329124139,9-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,870.0
TRX20220329124549,9-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,97.0,
TRX20220329124476,9-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,859.0,
TRX20220329124314,9-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,870.0
TRX20220329124282,9-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,667.0
TRX20220329124129,9-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,859.0,
TRX20220329124099,9-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,870.0
TRX20220329124374,10-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,517.0,
TRX20220329124093,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,422.0,
TRX20220329124507,10-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,19.0,
TRX20220329124420,10-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,42.0,
TRX20220329124090,10-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,610.0,
TRX20220329124466,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,89.0,
TRX20220329124499,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,89.0,
TRX20220329124438,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,765.0,
TRX20220329124237,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,765.0,
TRX20220329124141,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,753.0,
TRX20220329124468,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,753.0,
TRX20220329124088,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,753.0,
TRX20220329124067,11-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,299.0,
TRX20220329124214,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,89.0,
TRX20220329124422,11-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,750.0
TRX20220329124329,11-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,777.0,
TRX20220329124260,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,89.0,
TRX20220329124421,11-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,299.0,
TRX20220329124529,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,765.0,
TRX20220329124143,11-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,777.0,
TRX20220329124186,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,89.0,
TRX20220329124542,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,753.0,
TRX20220329124550,11-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,321.0,
TRX20220329124359,12-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,775.98,
TRX20220329124563,12-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,624.0,
TRX20220329124123,12-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,153.02,
TRX20220329124381,12-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,115.0,
TRX20220329124109,12-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,92.0,
TRX20220329124472,12-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,498.0,
TRX20220329124158,12-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,135.89,
TRX20220329124479,12-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,498.0,
TRX20220329124339,12-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,286.0,
TRX20220329124323,12-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,498.0,
TRX20220329124403,12-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,89.0,
TRX20220329124480,12-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,135.89,
TRX20220329124523,12-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,498.0,
TRX20220329124167,13-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,660.53,
TRX20220329124458,13-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,115.72,
TRX20220329124112,13-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,660.53,
TRX20220329124354,13-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,402.67,
TRX20220329124552,13-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,514.2,
TRX20220329124200,13-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,402.67,
TRX20220329124102,13-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,402.67,
TRX20220329124326,13-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,330.44,
TRX20220329124369,13-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,330.44,
TRX20220329124394,13-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,660.53,
TRX20220329124209,13-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,402.67,
TRX20220329124332,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,57.19,
TRX20220329124182,14-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,831.88,
TRX20220329124162,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,57.19,
TRX20220329124341,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,57.19,
TRX20220329124192,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,16.98,
TRX20220329124556,14-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,547.11,
TRX20220329124252,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,16.98,
TRX20220329124304,14-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,831.88,
TRX20220329124159,14-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,504.0,
TRX20220329124196,14-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,547.11,
TRX20220329124318,14-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,504.0,
TRX20220329124382,14-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,637.69,
TRX20220329124362,14-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,454.09,
TRX20220329124397,15-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,899.0,
TRX20220329124145,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,607.0,
TRX20220329124505,15-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,669.0,
TRX20220329124465,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,607.0,
TRX20220329124308,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,255.0,
TRX20220329124361,16-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,29.0,
TRX20220329124570,16-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,29.0,
TRX20220329124243,16-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,29.0,
TRX20220329124205,16-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,335.0,
TRX20220329124370,16-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,785.0,
TRX20220329124148,16-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,29.0,
TRX20220329124256,16-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,335.0,
TRX20220329124540,17-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,823.0,
TRX20220329124568,17-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,811.0,
TRX20220329124238,17-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,684.0,
TRX20220329124356,17-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,51.0,
TRX20220329124261,17-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,684.0,
TRX20220329124477,17-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,823.0,
TRX20220329124575,18-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,600.0,
TRX20220329124244,18-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,385.0,
TRX20220329124516,18-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,285.0,
TRX20220329124435,18-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,285.0,
TRX20220329124175,18-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,285.0,
TRX20220329124566,18-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,68.0,
TRX20220329124504,19-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,102.0,
TRX20220329124528,19-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,102.0,
TRX20220329124391,20-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,63.0,
TRX20220329124161,20-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,28.0,
TRX20220329124177,20-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,514.2,
TRX20220329124210,20-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,315.0,
TRX20220329124440,20-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,50000.0
TRX20220329124350,20-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,28.0,
TRX20220329124280,21-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,422.0,
TRX20220329124502,21-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,422.0,
TRX20220329124216,21-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,47.0,
TRX20220329124152,22-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,384.0,
TRX20220329124064,22-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,719.0,
TRX20220329124240,22-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,993.0,
TRX20220329124582,22-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,993.0,
TRX20220329124140,22-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,719.0,
TRX20220329124532,22-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,719.0,
TRX20220329124065,23-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,465.28,
TRX20220329124168,23-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,115.72,
TRX20220329124247,23-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,115.72,
TRX20220329124082,23-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,282.5,
TRX20220329124258,23-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,282.5,
TRX20220329124283,23-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,514.2,
TRX20220329124122,23-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,217.0,
TRX20220329124270,23-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,115.72,
TRX20220329124144,23-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,465.28,
TRX20220329124276,23-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,135.89,
TRX20220329124573,24-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,330.44,
TRX20220329124223,24-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,402.67,
TRX20220329124553,24-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,330.44,
TRX20220329124171,24-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,772.38,
TRX20220329124372,24-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,330.44,
TRX20220329124404,24-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,660.53,
TRX20220329124146,24-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,772.38,
TRX20220329124385,25-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,49.18,
TRX20220329124413,26-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,831.88,
TRX20220329124103,26-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,57.19,
TRX20220329124344,26-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,861.19,
TRX20220329124338,26-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,57.19,
TRX20220329124262,27-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,431.0,
TRX20220329124490,27-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,431.0,
TRX20220329124432,27-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,431.0,
