TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD,WITHDRAWAL AMT,DEPOSIT AMT
TRX20220330124104,7-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,899.0,
TRX20220330124107,7-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,812.0,
TRX20220330124105,7-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,416.0,
TRX20220330124110,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,413.0,
TRX20220330124117,8-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,472.0,
TRX20220330124111,8-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,492.0,
TRX20220330124114,8-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,176.0,
TRX20220330124119,8-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,57.0,
TRX20220330124118,8-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,372.0,
TRX20220330124115,8-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,607.0,
TRX20220330124112,8-Jan-24,Fund Transfer From Bank Rakyat,Transfer of funds from Bank Rakyat,Income/Salary,Bank transfer,,50000.0
TRX20220330124123,9-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,243.38,
TRX20220330124141,9-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,209.0,
TRX20220330124132,10-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,754.0,
TRX20220330124134,10-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,63.0,
TRX20220330124137,10-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,89.0,
TRX20220330124131,10-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,538.0,
TRX20220330124133,10-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,385.0,
TRX20220330124130,10-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,92.0,
TRX20220330124144,11-Jan-24,Fund Transfer From Bank Rakyat,Transfer of funds from Bank Rakyat,Income/Salary,Bank transfer,,50000.0
TRX20220330124145,11-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,141.0,
TRX20220330124140,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,119.19,
TRX20220330124146,11-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,18.0,
TRX20220330124153,11-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,331.66,
TRX20220330124143,11-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,726.0,
TRX20220330124142,11-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,287.0,
TRX20220330124100,11-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,135.89,
TRX20220330124139,11-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,299.0,
TRX20220330124135,11-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,831.88,
TRX20220330124150,12-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,213.93,
TRX20220330124159,12-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,896.0,
TRX20220330124168,13-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,794.23,
TRX20220330124160,13-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,560.0,
TRX20220330124162,13-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,938.0,
TRX20220330124158,13-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,433.0,
TRX20220330124169,14-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,209.0,
TRX20220330124176,14-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,61.0,
TRX20220330124173,14-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,670.0,
TRX20220330124188,15-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,137.34,
TRX20220330124177,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,41.0,
TRX20220330124181,15-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,176.0,
TRX20220330124171,15-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,200.47,
TRX20220330124182,15-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220330124186,16-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,880.69,
TRX20220330124185,16-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,905.0,
TRX20220330124183,16-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,376.0,
TRX20220330124195,18-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,984.34,
TRX20220330124194,19-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,524.46,
TRX20220330124199,19-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,14.0,
TRX20220330124198,19-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,57.0,
TRX20220330124192,19-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,734.78,
TRX20220330124205,20-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,881.9,
TRX20220330124203,20-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,33.0,
TRX20220330124200,20-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,785.0,
TRX20220330124202,20-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,209.0,
TRX20220330124204,20-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,50.0,
TRX20220330124207,21-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,384.0,
TRX20220330124212,22-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,875.0,
TRX20220330124215,22-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,749.0,
TRX20220330124210,22-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220330124214,22-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,159.0,
TRX20220330124213,22-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,485.0,
TRX20220330124216,22-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,654.62,
TRX20220330124226,24-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,411.0,
TRX20220330124223,24-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,674.0,
TRX20220330124224,25-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,1500.0
TRX20220330124225,25-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,87.0,
TRX20220330124237,26-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,245.0,
TRX20220330124236,26-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,654.0,
TRX20220330124233,26-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,562.0,
TRX20220330124229,26-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,644.0,
TRX20220330124232,26-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,417.0,
TRX20220330124234,26-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,194.0,
TRX20220330124235,26-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,494.0,
TRX20220330124239,27-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,89.0,
TRX20220330124230,27-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,806.0,
TRX20220330124231,27-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,402.67,
TRX20220330124241,28-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,38.0,
TRX20220330124240,28-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,237.0,
TRX20220330124243,29-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,297.0,
TRX20220330124244,29-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,209.0,
TRX20220330124245,29-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,309.0,
TRX20220330124242,29-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,178.0,
TRX20220330124248,30-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,153.02,
TRX20220330124247,30-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,326.0,
TRX20220330124249,31-Jan-24,Fund Transfer From Bank Rakyat,Transfer of funds from Bank Rakyat,Income/Salary,Bank transfer,,4000.0
TRX20220330124250,31-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,347.0,
TRX20220330124251,31-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,100000.0
TRX20220330124252,1-Feb-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,532.0,
TRX20220330124254,1-Feb-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,47.0,
TRX20220330124253,1-Feb-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,892.0,
TRX20220330124255,1-Feb-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,431.0,
TRX20220330124256,1-Feb-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,50000.0
TRX20220330124263,2-Feb-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,193.0,
TRX20220330124258,2-Feb-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,560.0,
TRX20220330124260,2-Feb-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,289.0,
TRX20220330124259,2-Feb-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,921.0,
TRX20220330124257,2-Feb-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,810.0,
TRX20220330124266,3-Feb-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,560.0,
TRX20220330124265,3-Feb-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,684.0,
TRX20220330124272,4-Feb-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,552.46,
TRX20220330124271,4-Feb-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,602.34,
TRX20220330124298,4-Feb-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,812.0,
TRX20220330124277,5-Feb-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,644.0,
TRX20220330124276,6-Feb-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,544.16,
TRX20220330124278,6-Feb-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,341.0,
TRX20220330124280,7-Feb-24,Housing Rent,Rental payments for housing accommodations,Other Expenses,Direct debit,1100.0,
TRX20220330124282,7-Feb-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,64.0,
TRX20220330124283,7-Feb-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,257.0,
TRX20220330124286,7-Feb-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,668.0,
TRX20220330124289,8-Feb-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,498.0,
TRX20220330124290,8-Feb-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,989.0,
TRX20220330124287,8-Feb-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,821.0,
TRX20220330124291,9-Feb-24,Home Ownership,Unspecified,Other Expenses,Unspecified,135.89,
TRX20220330124295,9-Feb-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,899.0,
TRX20220330124294,9-Feb-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,21.0,
TRX20220330124296,9-Feb-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,416.0,
TRX20220330124301,10-Feb-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,413.0,
TRX20220330124300,10-Feb-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,28.0,
TRX20220330124302,10-Feb-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,492.0,
TRX20220330124299,10-Feb-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,96.0,
TRX20220330124305,11-Feb-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,176.0,
TRX20220330124306,11-Feb-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,607.0,
TRX20220330124309,11-Feb-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,372.0,
TRX20220330124311,11-Feb-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,750.0,
TRX20220330124308,11-Feb-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,472.0,
TRX20220330124319,12-Feb-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,28.0,
TRX20220330124314,12-Feb-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,89.0,
TRX20220330124316,12-Feb-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,514.0,
TRX20220330124317,12-Feb-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,327.0,
TRX20220330124312,12-Feb-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,418.0,
TRX20220330124313,12-Feb-24,Home Ownership,Unspecified,Other Expenses,Unspecified,745.0,
TRX20220330124320,12-Feb-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,89.0,
TRX20220330124315,12-Feb-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,764.0,
TRX20220330124332,13-Feb-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,209.0,
TRX20220330124325,13-Feb-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,63.0,
TRX20220330124329,13-Feb-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,8130.0
TRX20220330124324,13-Feb-24,Meals,Charges for meals,Other Expenses,Online payment,385.0,
TRX20220330124322,13-Feb-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,538.0,
TRX20220330124323,13-Feb-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,754.0,
TRX20220330124328,14-Feb-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,89.0,
TRX20220330124330,14-Feb-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,299.0,
TRX20220330124336,15-Feb-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,141.0,
TRX20220330124335,15-Feb-24,Fund Transfer From Bank Rakyat,Transfer of funds from Bank Rakyat,Income/Salary,Bank transfer,,50000.0
TRX20220330124334,15-Feb-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,726.0,
TRX20220330124333,15-Feb-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,287.0,
TRX20220330124339,16-Feb-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,524.0,
TRX20220330124337,16-Feb-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,18.0,
TRX20220330124340,16-Feb-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,12.0,
TRX20220330124338,16-Feb-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,445.0,
TRX20220330124343,17-Feb-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,628.0,
TRX20220330124342,17-Feb-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,306.0,
TRX20220330124346,17-Feb-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,880.0,
TRX20220330124345,17-Feb-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,605.0,
TRX20220330124344,17-Feb-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,394.0,
TRX20220330124357,18-Feb-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,861.0,
TRX20220330124321,18-Feb-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,92.0,
TRX20220330124349,18-Feb-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,433.0,
TRX20220330124395,18-Feb-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,50.0,
TRX20220330124363,18-Feb-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,,4000.0
TRX20220330124351,18-Feb-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,560.0,
TRX20220330124348,18-Feb-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,875.0,
TRX20220330124356,18-Feb-24,Home Ownership,Unspecified,Other Expenses,Unspecified,282.5,
TRX20220330124364,19-Feb-24,Home Ownership,Unspecified,Other Expenses,Unspecified,670.0,
TRX20220330124353,19-Feb-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,938.0,
TRX20220330124354,19-Feb-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,803.0,
TRX20220330124355,19-Feb-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,352.0,
TRX20220330124359,19-Feb-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,745.0,
TRX20220330124352,19-Feb-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,667.0
TRX20220330124365,20-Feb-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,875.0,
TRX20220330124360,20-Feb-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,673.0,
TRX20220330124366,20-Feb-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,309.0,
TRX20220330124368,20-Feb-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,41.0,
TRX20220330124361,21-Feb-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,952.65,
TRX20220330124372,21-Feb-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,176.0,
TRX20220330124367,21-Feb-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,61.0,
TRX20220330124369,21-Feb-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,875.0,
TRX20220330124373,21-Feb-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220330124375,21-Feb-24,Home Ownership,Unspecified,Other Expenses,Unspecified,669.0,
TRX20220330124374,21-Feb-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,376.0,
TRX20220330124376,21-Feb-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,905.0,
TRX20220330124371,22-Feb-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,8130.0
TRX20220330124384,22-Feb-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,812.0,
TRX20220330124382,22-Feb-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,600.0,
TRX20220330124380,22-Feb-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,910.0,
TRX20220330124377,22-Feb-24,Home Ownership,Unspecified,Other Expenses,Unspecified,807.0,
TRX20220330124386,22-Feb-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,298.0,
TRX20220330124378,22-Feb-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,178.0,
TRX20220330124413,23-Feb-24,Meals,Charges for meals,Other Expenses,Online payment,508.0,
TRX20220330124389,23-Feb-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,57.0,
TRX20220330124390,23-Feb-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,14.0,
TRX20220330124388,23-Feb-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,572.0,
TRX20220330124392,23-Feb-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,767.73,
TRX20220330124396,24-Feb-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,881.9,
TRX20220330124397,24-Feb-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,282.5,
TRX20220330124393,24-Feb-24,Home Ownership,Unspecified,Other Expenses,Unspecified,209.0,
TRX20220330124394,24-Feb-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,33.0,
TRX20220330124398,25-Feb-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,384.0,
TRX20220330124399,25-Feb-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,892.0,
TRX20220330124404,26-Feb-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,485.0,
TRX20220330124401,26-Feb-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220330124402,26-Feb-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,492.0,
TRX20220330124405,27-Feb-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,159.0,
TRX20220330124406,27-Feb-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,749.0,
TRX20220330124418,29-Feb-24,Fund Transfer From Bank Rakyat,Transfer of funds from Bank Rakyat,Income/Salary,Bank transfer,,4000.0
TRX20220330124409,29-Feb-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,227.03,
TRX20220330124412,29-Feb-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,944.95,
TRX20220330124414,29-Feb-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,674.0,
TRX20220330124419,29-Feb-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,667.0
TRX20220330124424,1-Mar-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,100000.0
TRX20220330124423,1-Mar-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,431.0,
TRX20220330124420,1-Mar-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,532.0,
TRX20220330124425,1-Mar-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,810.0,
TRX20220330124421,1-Mar-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,892.0,
TRX20220330124426,2-Mar-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,560.0,
TRX20220330124428,2-Mar-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,289.0,
TRX20220330124427,2-Mar-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,921.0,
TRX20220330124430,3-Mar-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,635.0,
TRX20220330124434,3-Mar-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,684.0,
TRX20220330124432,3-Mar-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,193.0,
TRX20220330124431,3-Mar-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,326.0,
