TRANSACTION ID,DATE,TRANSACTION DETAILS,DESCRIPTION,CATEGORY,PAYMENT METHOD,WITHDRAWAL AMT,DEPOSIT AMT
TRX20220332124313,3-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,376.0,
TRX20220332124364,3-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,870.0
TRX20220332124318,3-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,948.4,
TRX20220332124251,3-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,1770.0
TRX20220332124556,3-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,376.0,
TRX20220332124222,3-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,871.0,
TRX20220332124362,3-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,1000.0
TRX20220332124089,3-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,880.0
TRX20220332124120,3-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,209.0,
TRX20220332124586,3-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,417.0,
TRX20220332124126,3-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,159.0,
TRX20220332124298,3-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,417.0,
TRX20220332124144,3-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,871.0,
TRX20220332124227,3-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,871.0,
TRX20220332124473,3-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,948.4,
TRX20220332124179,4-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,326.0,
TRX20220332124281,4-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,831.88,
TRX20220332124157,4-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,831.88,
TRX20220332124421,4-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,491.47,
TRX20220332124449,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,436.0,
TRX20220332124235,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,436.0,
TRX20220332124503,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,436.0,
TRX20220332124398,5-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,326.0,
TRX20220332124273,5-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,753.0,
TRX20220332124213,5-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,701.0,
TRX20220332124583,5-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,436.0,
TRX20220332124487,6-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,478.0,
TRX20220332124166,6-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,782.28,
TRX20220332124355,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,115.72,
TRX20220332124365,6-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,782.28,
TRX20220332124282,6-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,782.28,
TRX20220332124523,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,115.72,
TRX20220332124212,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,115.72,
TRX20220332124532,6-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,20000.0
TRX20220332124531,6-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,586.0,
TRX20220332124149,6-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,827.0,
TRX20220332124110,6-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,841.29,
TRX20220332124147,6-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,115.72,
TRX20220332124301,6-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,827.0,
TRX20220332124317,6-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,115.72,
TRX20220332124347,6-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,115.72,
TRX20220332124091,6-Jan-24,Parking Fines,Fines issued for parking violations,Other Expenses,Online payment,16.98,
TRX20220332124452,6-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,115.72,
TRX20220332124316,7-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,912.0,
TRX20220332124507,7-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,775.98,
TRX20220332124094,7-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,879.18,
TRX20220332124290,7-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,895.0,
TRX20220332124236,7-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,767.0,
TRX20220332124242,7-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,775.98,
TRX20220332124247,7-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,863.76,
TRX20220332124254,7-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,879.18,
TRX20220332124098,8-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,282.5,
TRX20220332124492,8-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,639.0,
TRX20220332124336,8-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,,4000.0
TRX20220332124148,8-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,215.0,
TRX20220332124283,8-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,282.5,
TRX20220332124451,8-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,282.5,
TRX20220332124314,8-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,138.0,
TRX20220332124433,8-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,764.0,
TRX20220332124078,8-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,875.0,
TRX20220332124306,9-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,684.67,
TRX20220332124520,9-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,104.01,
TRX20220332124579,9-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,7.24,
TRX20220332124111,9-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,367.64,
TRX20220332124538,9-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,104.01,
TRX20220332124174,9-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,992.46,
TRX20220332124276,9-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,684.67,
TRX20220332124524,9-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,7.24,
TRX20220332124428,9-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,647.0,
TRX20220332124249,9-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,668.0,
TRX20220332124450,9-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,992.46,
TRX20220332124568,9-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,992.46,
TRX20220332124419,9-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,942.75,
TRX20220332124429,9-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,684.67,
TRX20220332124072,10-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,308.5,
TRX20220332124335,10-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,219.22,
TRX20220332124229,10-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,181.0,
TRX20220332124279,10-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,181.0,
TRX20220332124278,10-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,308.5,
TRX20220332124186,10-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,173.75,
TRX20220332124499,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,15.65,
TRX20220332124585,10-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,181.0,
TRX20220332124562,10-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,219.22,
TRX20220332124553,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,15.65,
TRX20220332124188,10-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,15.65,
TRX20220332124270,10-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,519.48,
TRX20220332124067,10-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,20.65,
TRX20220332124294,10-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,372.73,
TRX20220332124550,10-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,219.22,
TRX20220332124500,10-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,980.6,
TRX20220332124103,11-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,645.0,
TRX20220332124541,11-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,423.4,
TRX20220332124197,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,96.0,
TRX20220332124363,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,17.0,
TRX20220332124134,11-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,533.0,
TRX20220332124379,11-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,714.56,
TRX20220332124066,11-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,910.0,
TRX20220332124194,11-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,57.19,
TRX20220332124342,11-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,423.4,
TRX20220332124361,11-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,57.19,
TRX20220332124340,11-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,533.0,
TRX20220332124376,11-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,423.4,
TRX20220332124143,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,96.0,
TRX20220332124099,11-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,96.0,
TRX20220332124502,11-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,17.0,
TRX20220332124491,12-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,924.0,
TRX20220332124464,12-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,812.0,
TRX20220332124230,12-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,741.0,
TRX20220332124495,12-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,812.0,
TRX20220332124343,12-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,899.0,
TRX20220332124339,12-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,670.0,
TRX20220332124508,12-Jan-24,Home Ownership,Unspecified,Other Expenses,Unspecified,670.0,
TRX20220332124395,12-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,924.0,
TRX20220332124434,12-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,806.0,
TRX20220332124378,12-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,806.0,
TRX20220332124463,12-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,752.0,
TRX20220332124413,12-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,741.0,
TRX20220332124513,12-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,899.0,
TRX20220332124246,12-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,806.0,
TRX20220332124516,12-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,924.0,
TRX20220332124184,12-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,752.0,
TRX20220332124064,12-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Unspecified,335.0,
TRX20220332124187,12-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,806.0,
TRX20220332124075,12-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,806.0,
TRX20220332124472,12-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,806.0,
TRX20220332124128,12-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,752.0,
TRX20220332124354,13-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,586.0,
TRX20220332124351,13-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,831.88,
TRX20220332124519,13-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,712.0,
TRX20220332124180,13-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,712.0,
TRX20220332124123,13-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,193.0,
TRX20220332124329,13-Jan-24,City & Environmental Services,"Charges for various city and environmental services such as waste management, recycling, and environmental protection",Government Services,Online banking,712.0,
TRX20220332124237,13-Jan-24,Sundry Debtors,Miscellaneous outstanding debts owed to the organization,Debts/Overpayments,Direct debit,831.88,
TRX20220332124079,14-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,315.0,
TRX20220332124372,14-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,315.0,
TRX20220332124366,14-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,315.0,
TRX20220332124410,14-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220332124385,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,1000.0,
TRX20220332124162,14-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,315.0,
TRX20220332124296,14-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,50.0,
TRX20220332124163,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,1000.0,
TRX20220332124092,14-Jan-24,Asset Regeneration,Charges related to the regeneration or redevelopment of assets,Other Expenses,Bank transfer,58.0,
TRX20220332124280,14-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,750.0
TRX20220332124529,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,1000.0,
TRX20220332124388,14-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,243.32,
TRX20220332124286,14-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,309.0,
TRX20220332124243,14-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,750.0
TRX20220332124425,14-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,1000.0,
TRX20220332124527,14-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220332124576,14-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,970.0,
TRX20220332124244,15-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,257.0,
TRX20220332124367,15-Jan-24,Housing Repairs & Keys,Charges for repairs and replacement of keys for housing units,Other Expenses,Online payment,42.0,
TRX20220332124575,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,202.0,
TRX20220332124241,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,921.0,
TRX20220332124551,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,921.0,
TRX20220332124566,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,202.0,
TRX20220332124182,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,202.0,
TRX20220332124437,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,202.0,
TRX20220332124537,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,202.0,
TRX20220332124192,15-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,202.0,
TRX20220332124458,16-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,657.0,
TRX20220332124407,16-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,803.0,
TRX20220332124471,16-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,21.0,
TRX20220332124392,16-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,657.0,
TRX20220332124310,16-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,803.0,
TRX20220332124546,16-Jan-24,Entertainment Licences,Fees for licenses required for entertainment events,Other Expenses,Bank transfer,21.0,
TRX20220332124441,16-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,803.0,
TRX20220332124386,17-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,598.75,
TRX20220332124353,17-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,785.0,
TRX20220332124539,17-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,938.0,
TRX20220332124239,17-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,785.0,
TRX20220332124543,17-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,598.75,
TRX20220332124175,17-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,502.0,
TRX20220332124170,18-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,655.0,
TRX20220332124146,18-Jan-24,Leeds Card,Charges related to the use of the Leeds Card loyalty program,Other Expenses,Card payment,655.0,
TRX20220332124267,18-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,1800.0
TRX20220332124549,18-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,1800.0
TRX20220332124261,18-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,572.0,
TRX20220332124178,18-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,572.0,
TRX20220332124080,18-Jan-24,Fleet Services,Fees for fleet vehicle maintenance and services.,Utilities,Credit card,299.0,
TRX20220332124490,20-Jan-24,Parks and Countryside,Charges for access to parks and countryside facilities,Other Expenses,Cash,287.0,
TRX20220332124396,21-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,812.0,
TRX20220332124555,21-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,812.0,
TRX20220332124257,22-Jan-24,Blue Badge,Charges for disabled parking permits (Blue Badge),Other Expenses,Online payment,402.67,
TRX20220332124358,22-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,135.89,
TRX20220332124233,23-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,560.0,
TRX20220332124408,23-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,560.0,
TRX20220332124359,23-Jan-24,Mortgages,Payments towards mortgage loans,Other Expenses,Direct debit,560.0,
TRX20220332124341,24-Jan-24,Planning,Fees for planning applications or permits,Other Expenses,Online banking,494.0,
TRX20220332124181,24-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,764.0,
TRX20220332124211,24-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,900.0,
TRX20220332124220,24-Jan-24,Property Maintenance,Unspecified,Other Expenses,Unspecified,754.0,
TRX20220332124320,24-Jan-24,Highways,Fees for maintenance and development of roads and highways,Government Services,Direct debit,764.0,
TRX20220332124256,24-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,63.0,
TRX20220332124324,25-Jan-24,Council Tax,Local government tax levied on residential properties,Government Services,Direct debit,674.0,
TRX20220332124199,26-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,37.0,
TRX20220332124474,26-Jan-24,Housing Benefits Overpayments,Overpayments of housing benefits that need to be refunded,Debts/Overpayments,Cheque,37.0,
TRX20220332124389,28-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,236.04,
TRX20220332124130,28-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,269.51,
TRX20220332124412,28-Jan-24,Electoral & Local Land Charges,Charges for electoral and local land services,Government Services,Online banking,255.0,
TRX20220332124534,28-Jan-24,Children's Services,"Fees for various services provided to children, such as childcare or youth programs",Other Expenses,Direct debit,269.51,
TRX20220332124530,29-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,50000.0
TRX20220332124444,29-Jan-24,Meals,Charges for meals,Other Expenses,Online payment,900.0,
TRX20220332124068,30-Jan-24,Fund Transfer From Bank Islam,Transfer of funds from Bank Islam,Income/Salary,Bank transfer,,50000.0
TRX20220332124062,30-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,220.0,
TRX20220332124102,30-Jan-24,Business Rates,Taxes imposed on non-residential properties used for business purposes,Government Services,Online banking,38.0,
TRX20220332124275,30-Jan-24,Leodis,Charges for services provided by Leodis,Other Expenses,Bank transfer,220.0,
TRX20220332124113,30-Jan-24,Museums,Admission fees or charges for services provided by museums,Other Expenses,Cash,660.0,
TRX20220332124252,31-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,667.0
TRX20220332124501,31-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,454.09,
TRX20220332124307,31-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,372.0,
TRX20220332124349,31-Jan-24,Nurseries,Fees for childcare services,Other Expenses,Direct debit,454.09,
TRX20220332124402,31-Jan-24,Commercial/Market Rents,Rent payments for commercial or market spaces,Income/Salary,Bank transfer,,667.0
